Date,AGL.JO,BID.JO,CPI.JO
2020-07-30,40264.3671875,28315.1328125,94456.703125
2020-07-31,40935.94921875,28043.388671875,88326.6328125
2020-08-03,41755.3515625,27212.1796875,82894.875
2020-08-04,41786.6796875,27068.314453125,82555.1953125
2020-08-05,43334.44140625,27262.13671875,84660.171875
2020-08-06,43437.234375,27663.751953125,83999.796875
2020-08-07,42351.55078125,28526.93359375,83252.53125
2020-08-11,42924.25,28511.9453125,86640.25
2020-08-12,43194.44921875,28239.205078125,85959.90625
2020-08-13,42658.94921875,28585.875,89178.8046875
2020-08-14,42049.046875,28466.98828125,87996.9296875
2020-08-17,43227.734375,27830.591796875,84644.1875
2020-08-18,42739.22265625,27718.69921875,86952.9609375
2020-08-19,42542.44921875,27188.19921875,86915.984375
2020-08-20,41656.4765625,27005.373046875,83538.25
2020-08-21,41039.71875,26949.4296875,87915.015625
2020-08-24,41573.26171875,25078.203125,92909.1875
2020-08-25,40110.66796875,24944.33203125,95068.1171875
2020-08-26,40138.08203125,28169.26953125,93174.9375
2020-08-27,39858.09375,29788.734375,89913.1015625
2020-08-28,39755.30078125,28883.59375,88175.7734375
2020-08-31,39595.7265625,27964.462890625,83419.3671875
2020-09-01,40503.23828125,27973.458984375,88912.0625
2020-09-02,40823.36328125,27972.458984375,86278.6015625
2020-09-03,38916.31640625,27564.845703125,86908.984375
2020-09-04,39406.78515625,26835.53515625,86915.984375
2020-09-07,40189.96484375,26861.51171875,88091.8515625
2020-09-08,39780.75390625,27110.2734375,89913.1015625
2020-09-09,39675.0234375,26604.755859375,96067.140625
2020-09-10,39318.67578125,26404.943359375,99236.0859375
2020-09-11,40480.72265625,27171.21484375,95539.640625
2020-09-14,40872.3125,27174.21484375,97018.21875
2020-09-15,40869.37890625,26919.45703125,97601.65625
2020-09-16,41022.09765625,26974.40234375,99138.1796875
2020-09-17,40585.47265625,26922.453125,97144.09375
2020-09-18,40789.1015625,27206.18359375,95311.875
